M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
4096,2048,6144,False,torch.bfloat16,torch.float32,False,False
4096,3072,6144,False,torch.bfloat16,torch.float32,False,False
4096,50016,6144,False,torch.bfloat16,torch.float32,False,False
4096,6144,2048,False,torch.bfloat16,torch.float32,False,False
4096,6144,3072,False,torch.bfloat16,torch.float32,False,False
8192,128,6144,False,torch.bfloat16,torch.float32,False,False
8192,2048,6144,False,torch.bfloat16,torch.float32,False,False
8192,3072,6144,False,torch.bfloat16,torch.float32,False,False
8192,50016,6144,False,torch.bfloat16,torch.float32,False,False
8192,6144,2048,False,torch.bfloat16,torch.float32,False,False
8192,6144,3072,False,torch.bfloat16,torch.float32,False,False
16384,128,6144,False,torch.bfloat16,torch.float32,False,False
16384,2048,6144,False,torch.bfloat16,torch.float32,False,False
16384,3072,6144,False,torch.bfloat16,torch.float32,False,False
16384,50016,6144,False,torch.bfloat16,torch.float32,False,False
16384,6144,2048,False,torch.bfloat16,torch.float32,False,False
16384,6144,3072,False,torch.bfloat16,torch.float32,False,False
192,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
192,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
176,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
176,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
160,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
160,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
120,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
120,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
112,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
112,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
104,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
104,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
96,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
96,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
88,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
88,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
80,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
80,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
72,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
72,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
56,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
56,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
40,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
40,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
28,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
28,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
24,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
24,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
20,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
20,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
12,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
12,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
44,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
44,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
30,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
30,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
26,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
26,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
22,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
22,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
18,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
18,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
14,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
14,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
10,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
10,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
7,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
7,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
6,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
6,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
5,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
5,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
3,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
3,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
63488,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
63488,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
62906,32,6144,False,torch.bfloat16,torch.bfloat16,False,False
62906,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
