m	n	topk	coop_g	us	stddev_pct	path
256	28672	2048	2	35.60	0.112	decode
256	28672	2048	4	43.20	0.100	decode
256	28672	2048	8	32.50	0.100	decode
256	28672	2048	16	38.10	0.061	decode
256	28672	2048	32	38.10	0.061	decode
256	28672	2048	64	38.20	0.085	decode
512	28672	2048	1	38.70	0.072	prefill
512	28672	2048	2	45.20	0.051	prefill
512	28672	2048	4	59.60	0.047	prefill
512	28672	2048	8	46.70	0.048	prefill
512	28672	2048	16	55.80	0.051	prefill
512	28672	2048	32	55.90	0.041	prefill
512	28672	2048	64	56.00	0.087	prefill
1024	28672	2048	1	54.10	0.060	prefill
1024	28672	2048	2	69.00	0.033	prefill
1024	28672	2048	4	86.20	0.073	prefill
1024	28672	2048	8	72.20	0.059	prefill
1024	28672	2048	16	88.70	0.045	prefill
1024	28672	2048	32	88.70	0.041	prefill
1024	28672	2048	64	88.80	0.037	prefill
2048	28672	2048	1	103.20	0.077	prefill
2048	28672	2048	2	121.90	0.038	prefill
2048	28672	2048	4	153.20	0.053	prefill
2048	28672	2048	8	140.00	0.057	prefill
2048	28672	2048	16	169.80	0.069	prefill
2048	28672	2048	32	169.80	0.104	prefill
2048	28672	2048	64	169.70	0.077	prefill
4096	28672	2048	1	225.10	0.095	prefill
4096	28672	2048	2	224.80	0.058	prefill
4096	28672	2048	4	270.10	0.082	prefill
4096	28672	2048	8	264.60	0.065	prefill
4096	28672	2048	16	324.10	0.054	prefill
4096	28672	2048	32	324.40	0.084	prefill
4096	28672	2048	64	324.20	0.077	prefill
1	114688	2048	1	44.70	0.063	prefill
1	114688	2048	2	34.90	0.002	decode
1	114688	2048	4	28.30	0.082	decode
1	114688	2048	8	24.40	0.067	decode
1	114688	2048	16	23.00	0.123	decode
1	114688	2048	32	22.30	0.073	decode
1	114688	2048	64	22.00	0.000	decode
2	114688	2048	1	45.50	0.062	prefill
2	114688	2048	2	34.60	0.082	decode
2	114688	2048	4	28.60	0.057	decode
2	114688	2048	8	24.70	0.113	decode
2	114688	2048	16	23.30	0.156	decode
2	114688	2048	32	22.80	0.160	decode
2	114688	2048	64	22.90	0.159	decode
4	114688	2048	1	46.00	0.150	prefill
4	114688	2048	2	36.20	0.001	decode
4	114688	2048	4	28.90	0.112	decode
4	114688	2048	8	25.00	0.173	decode
4	114688	2048	16	23.80	0.217	decode
4	114688	2048	32	23.80	0.275	decode
4	114688	2048	64	24.50	0.230	decode
8	114688	2048	1	46.40	0.079	prefill
8	114688	2048	2	36.60	0.077	decode
8	114688	2048	4	30.20	0.171	decode
8	114688	2048	8	25.70	0.201	decode
8	114688	2048	16	25.00	0.216	decode
8	114688	2048	32	25.60	0.154	decode
8	114688	2048	64	27.40	0.198	decode
16	114688	2048	1	46.50	0.105	prefill
16	114688	2048	2	37.80	0.086	decode
16	114688	2048	4	32.80	0.050	decode
16	114688	2048	8	26.40	0.107	decode
16	114688	2048	16	26.40	0.087	decode
16	114688	2048	32	28.60	0.099	decode
16	114688	2048	64	32.60	0.050	decode
32	114688	2048	1	46.80	0.049	prefill
32	114688	2048	2	38.20	0.060	decode
32	114688	2048	4	33.40	0.118	decode
32	114688	2048	8	26.80	0.122	decode
32	114688	2048	16	28.00	0.193	decode
32	114688	2048	32	32.30	0.071	decode
32	114688	2048	64	40.80	0.132	decode
64	114688	2048	1	48.20	0.068	prefill
64	114688	2048	2	43.00	0.066	decode
64	114688	2048	4	38.20	0.061	decode
64	114688	2048	8	29.10	0.096	decode
64	114688	2048	16	31.40	0.088	decode
64	114688	2048	32	40.50	0.057	decode
64	114688	2048	64	54.20	0.085	decode
128	114688	2048	1	57.20	0.040	prefill
128	114688	2048	2	44.70	0.082	decode
128	114688	2048	4	42.20	0.066	decode
128	114688	2048	8	33.60	0.049	decode
128	114688	2048	16	39.30	0.182	decode
128	114688	2048	32	51.80	0.141	decode
128	114688	2048	64	72.80	0.067	decode
256	114688	2048	1	58.90	0.048	prefill
256	114688	2048	2	48.20	0.067	decode
256	114688	2048	4	50.20	0.055	decode
256	114688	2048	8	44.60	0.072	decode
256	114688	2048	16	51.20	0.064	decode
256	114688	2048	32	70.00	0.061	decode
256	114688	2048	64	100.40	0.075	decode
512	114688	2048	1	75.30	0.075	prefill
512	114688	2048	2	66.60	0.101	prefill
512	114688	2048	4	77.00	0.052	prefill
512	114688	2048	8	68.70	0.047	prefill
512	114688	2048	16	79.20	0.035	prefill
512	114688	2048	32	108.80	0.039	prefill
512	114688	2048	64	158.20	0.139	prefill
1024	114688	2048	1	141.30	0.040	prefill
1024	114688	2048	2	136.90	0.060	prefill
1024	114688	2048	4	144.80	0.048	prefill
1024	114688	2048	8	139.10	0.048	prefill
1024	114688	2048	16	159.30	0.101	prefill
1024	114688	2048	32	206.90	0.047	prefill
1024	114688	2048	64	284.00	0.057	prefill
2048	114688	2048	1	284.90	0.042	prefill
2048	114688	2048	2	272.30	0.107	prefill
2048	114688	2048	4	279.80	0.074	prefill
2048	114688	2048	8	276.00	0.076	prefill
2048	114688	2048	16	311.00	0.071	prefill
2048	114688	2048	32	396.70	0.064	prefill
2048	114688	2048	64	534.00	0.086	prefill
4096	114688	2048	1	510.50	0.047	prefill
4096	114688	2048	2	493.70	0.027	prefill
4096	114688	2048	4	501.20	0.030	prefill
4096	114688	2048	8	500.10	0.099	prefill
4096	114688	2048	16	578.30	0.062	prefill
4096	114688	2048	32	754.40	0.073	prefill
4096	114688	2048	64	1014.80	0.061	prefill
1	163840	2048	1	55.60	0.042	prefill
1	163840	2048	2	41.40	0.000	decode
1	163840	2048	4	32.00	0.050	decode
1	163840	2048	8	26.80	0.002	decode
1	163840	2048	16	24.60	0.094	decode
1	163840	2048	32	23.70	0.069	decode
1	163840	2048	64	23.50	0.069	decode
2	163840	2048	1	56.70	0.040	prefill
2	163840	2048	2	41.10	0.040	decode
2	163840	2048	4	32.30	0.071	decode
2	163840	2048	8	27.10	0.085	decode
2	163840	2048	16	25.00	0.093	decode
2	163840	2048	32	24.30	0.116	decode
2	163840	2048	64	24.50	0.113	decode
4	163840	2048	1	56.60	0.057	prefill
4	163840	2048	2	42.20	0.039	decode
4	163840	2048	4	32.40	0.050	decode
4	163840	2048	8	27.20	0.000	decode
4	163840	2048	16	25.30	0.129	decode
4	163840	2048	32	25.10	0.113	decode
4	163840	2048	64	26.10	0.140	decode
8	163840	2048	1	57.00	0.050	prefill
8	163840	2048	2	42.40	0.122	decode
8	163840	2048	4	33.20	0.139	decode
8	163840	2048	8	28.00	0.155	decode
8	163840	2048	16	26.30	0.186	decode
8	163840	2048	32	26.80	0.183	decode
8	163840	2048	64	29.20	0.193	decode
16	163840	2048	1	57.50	0.040	prefill
16	163840	2048	2	43.40	0.053	decode
16	163840	2048	4	35.90	0.045	decode
16	163840	2048	8	28.70	0.112	decode
16	163840	2048	16	28.20	0.141	decode
16	163840	2048	32	30.00	0.133	decode
16	163840	2048	64	35.50	0.138	decode
32	163840	2048	1	57.60	0.040	prefill
32	163840	2048	2	47.20	0.049	decode
32	163840	2048	4	36.50	0.148	decode
32	163840	2048	8	29.20	0.000	decode
32	163840	2048	16	30.10	0.287	decode
32	163840	2048	32	34.30	0.048	decode
32	163840	2048	64	46.90	0.060	decode
64	163840	2048	1	71.40	0.045	prefill
64	163840	2048	2	50.40	0.045	decode
64	163840	2048	4	43.10	0.065	decode
64	163840	2048	8	32.70	0.086	decode
64	163840	2048	16	34.60	0.082	decode
64	163840	2048	32	42.70	0.085	decode
64	163840	2048	64	61.00	0.092	decode
128	163840	2048	1	72.10	0.045	prefill
128	163840	2048	2	51.40	0.032	decode
128	163840	2048	4	46.50	0.079	decode
128	163840	2048	8	37.90	0.061	decode
128	163840	2048	16	43.10	0.038	decode
128	163840	2048	32	54.40	0.060	decode
128	163840	2048	64	82.70	0.161	decode
256	163840	2048	1	74.30	0.038	prefill
256	163840	2048	2	56.00	0.050	decode
256	163840	2048	4	56.20	0.049	decode
256	163840	2048	8	51.80	0.045	decode
256	163840	2048	16	57.60	0.040	decode
256	163840	2048	32	75.10	0.043	decode
256	163840	2048	64	122.30	0.317	decode
512	163840	2048	1	118.80	0.210	prefill
512	163840	2048	2	96.30	0.182	prefill
512	163840	2048	4	98.50	0.095	prefill
512	163840	2048	8	97.00	0.146	prefill
512	163840	2048	16	108.00	0.099	prefill
512	163840	2048	32	133.50	0.034	prefill
512	163840	2048	64	203.40	0.099	prefill
1024	163840	2048	1	199.10	0.090	prefill
1024	163840	2048	2	193.20	0.089	prefill
1024	163840	2048	4	194.20	0.085	prefill
1024	163840	2048	8	193.80	0.048	prefill
1024	163840	2048	16	208.70	0.071	prefill
1024	163840	2048	32	251.00	0.094	prefill
1024	163840	2048	64	369.60	0.080	prefill
2048	163840	2048	1	346.60	0.082	prefill
2048	163840	2048	2	340.40	0.095	prefill
2048	163840	2048	4	339.80	0.067	prefill
2048	163840	2048	8	336.20	0.083	prefill
2048	163840	2048	16	365.50	0.125	prefill
2048	163840	2048	32	457.90	0.052	prefill
2048	163840	2048	64	688.80	0.099	prefill
4096	163840	2048	1	747.10	0.048	prefill
