m	n	topk	coop_g	us	stddev_pct	path
256	32768	2048	2	35.80	0.079	decode
256	32768	2048	4	42.70	0.076	decode
256	32768	2048	8	32.50	0.071	decode
256	32768	2048	16	41.40	0.097	decode
256	32768	2048	32	41.40	0.118	decode
256	32768	2048	64	41.40	0.104	decode
512	32768	2048	1	40.00	0.041	prefill
512	32768	2048	2	45.00	0.062	prefill
512	32768	2048	4	59.40	0.099	prefill
512	32768	2048	8	46.60	0.050	prefill
512	32768	2048	16	60.60	0.054	prefill
512	32768	2048	32	60.50	0.120	prefill
512	32768	2048	64	60.50	0.061	prefill
1024	32768	2048	1	56.90	0.081	prefill
1024	32768	2048	2	69.20	0.062	prefill
1024	32768	2048	4	85.30	0.038	prefill
1024	32768	2048	8	72.00	0.032	prefill
1024	32768	2048	16	97.40	0.047	prefill
1024	32768	2048	32	97.40	0.047	prefill
1024	32768	2048	64	97.40	0.041	prefill
2048	32768	2048	1	109.10	0.063	prefill
2048	32768	2048	2	124.50	0.068	prefill
2048	32768	2048	4	152.50	0.064	prefill
2048	32768	2048	8	140.90	0.023	prefill
2048	32768	2048	16	189.20	0.095	prefill
2048	32768	2048	32	189.10	0.064	prefill
2048	32768	2048	64	189.20	0.066	prefill
4096	32768	2048	1	243.10	0.066	prefill
4096	32768	2048	2	236.10	0.055	prefill
4096	32768	2048	4	269.00	0.062	prefill
4096	32768	2048	8	265.20	0.057	prefill
4096	32768	2048	16	358.10	0.044	prefill
4096	32768	2048	32	358.20	0.057	prefill
4096	32768	2048	64	357.90	0.039	prefill
1	49152	2048	1	29.70	0.078	prefill
1	49152	2048	2	26.90	0.061	decode
1	49152	2048	4	23.30	0.099	decode
1	49152	2048	8	21.30	0.075	decode
1	49152	2048	16	20.80	0.078	decode
1	49152	2048	32	20.40	0.080	decode
1	49152	2048	64	20.50	0.138	decode
2	49152	2048	1	30.40	0.177	prefill
2	49152	2048	2	26.40	0.138	decode
2	49152	2048	4	23.60	0.069	decode
2	49152	2048	8	21.60	0.076	decode
2	49152	2048	16	21.00	0.110	decode
2	49152	2048	32	20.80	0.111	decode
2	49152	2048	64	20.80	0.136	decode
4	49152	2048	1	30.90	0.167	prefill
4	49152	2048	2	27.90	0.000	decode
4	49152	2048	4	24.40	0.067	decode
4	49152	2048	8	22.10	0.074	decode
4	49152	2048	16	21.80	0.130	decode
4	49152	2048	32	21.80	0.199	decode
4	49152	2048	64	21.80	0.106	decode
8	49152	2048	1	31.60	0.213	prefill
8	49152	2048	2	28.60	0.189	decode
8	49152	2048	4	26.10	0.140	decode
8	49152	2048	8	22.70	0.125	decode
8	49152	2048	16	22.90	0.071	decode
8	49152	2048	32	23.30	0.157	decode
8	49152	2048	64	23.30	0.121	decode
16	49152	2048	1	31.40	0.156	prefill
16	49152	2048	2	30.70	0.159	decode
16	49152	2048	4	28.80	0.057	decode
16	49152	2048	8	23.40	0.140	decode
16	49152	2048	16	24.40	0.067	decode
16	49152	2048	32	25.50	0.168	decode
16	49152	2048	64	25.50	0.111	decode
32	49152	2048	1	31.60	0.115	prefill
32	49152	2048	2	31.10	0.090	decode
32	49152	2048	4	29.20	0.112	decode
32	49152	2048	8	23.70	0.136	decode
32	49152	2048	16	25.80	0.155	decode
32	49152	2048	32	27.50	0.103	decode
32	49152	2048	64	27.40	0.084	decode
64	49152	2048	1	32.00	0.160	prefill
64	49152	2048	2	34.40	0.141	decode
64	49152	2048	4	33.90	0.152	decode
64	49152	2048	8	25.20	0.171	decode
64	49152	2048	16	28.30	0.182	decode
64	49152	2048	32	32.00	0.161	decode
