m	n	topk	coop_g	us	stddev_pct	path
256	81920	2048	16	47.20	0.035	decode
256	81920	2048	32	67.50	0.080	decode
512	81920	2048	1	57.30	0.049	prefill
512	81920	2048	2	57.30	0.075	prefill
512	81920	2048	4	68.80	0.033	prefill
512	81920	2048	8	59.00	0.047	prefill
512	81920	2048	16	71.70	0.046	prefill
512	81920	2048	32	104.30	0.060	prefill
1024	81920	2048	1	108.20	0.154	prefill
1024	81920	2048	2	106.60	0.085	prefill
1024	81920	2048	4	117.20	0.046	prefill
1024	81920	2048	8	110.40	0.059	prefill
1024	81920	2048	16	134.30	0.036	prefill
1024	81920	2048	32	193.80	0.059	prefill
2048	81920	2048	1	224.60	0.077	prefill
2048	81920	2048	2	216.10	0.098	prefill
2048	81920	2048	4	226.30	0.068	prefill
2048	81920	2048	8	221.80	0.090	prefill
2048	81920	2048	16	264.10	0.079	prefill
2048	81920	2048	32	375.20	0.067	prefill
4096	81920	2048	1	391.00	0.063	prefill
4096	81920	2048	2	377.70	0.052	prefill
4096	81920	2048	4	393.00	0.049	prefill
4096	81920	2048	8	397.00	0.053	prefill
4096	81920	2048	16	484.00	0.068	prefill
4096	81920	2048	32	707.50	0.058	prefill
256	98304	2048	1	53.50	0.042	prefill
256	98304	2048	2	45.20	0.051	decode
256	98304	2048	4	48.60	0.082	decode
256	98304	2048	8	41.80	0.094	decode
256	98304	2048	16	49.10	0.110	decode
256	98304	2048	32	68.40	0.058	decode
512	98304	2048	1	63.20	0.037	prefill
512	98304	2048	2	61.80	0.037	prefill
512	98304	2048	4	72.70	0.031	prefill
512	98304	2048	8	63.90	0.057	prefill
512	98304	2048	16	74.50	0.057	prefill
512	98304	2048	32	105.60	0.038	prefill
1024	98304	2048	1	126.30	0.059	prefill
1024	98304	2048	2	121.30	0.051	prefill
1024	98304	2048	4	130.10	0.039	prefill
1024	98304	2048	8	124.20	0.039	prefill
1024	98304	2048	16	143.60	0.061	prefill
1024	98304	2048	32	197.70	0.065	prefill
2048	98304	2048	1	260.40	0.068	prefill
2048	98304	2048	2	248.20	0.067	prefill
2048	98304	2048	4	256.00	0.038	prefill
2048	98304	2048	8	251.90	0.069	prefill
2048	98304	2048	16	286.70	0.095	prefill
2048	98304	2048	32	384.50	0.074	prefill
4096	98304	2048	1	464.80	0.071	prefill
4096	98304	2048	2	445.80	0.060	prefill
4096	98304	2048	4	455.00	0.056	prefill
4096	98304	2048	8	456.60	0.044	prefill
4096	98304	2048	16	530.70	0.141	prefill
4096	98304	2048	32	731.50	0.088	prefill
