m	n	g	us	path	stddev_pct
2048	28672	8	140.00	prefill	0.06
2048	28672	16	169.80	prefill	0.07
2048	28672	32	169.80	prefill	0.10
2048	28672	64	169.70	prefill	0.08
4096	28672	1	225.10	prefill	0.10
4096	28672	2	224.80	prefill	0.06
4096	28672	4	270.10	prefill	0.08
4096	28672	8	264.60	prefill	0.07
4096	28672	16	324.10	prefill	0.05
4096	28672	32	324.40	prefill	0.08
4096	28672	64	324.20	prefill	0.08
1	114688	1	44.70	prefill	0.06
1	114688	2	34.90	decode	0.00
1	114688	4	28.30	decode	0.08
1	114688	8	24.40	decode	0.07
1	114688	16	23.00	decode	0.12
1	114688	32	22.30	decode	0.07
1	114688	64	22.00	decode	0.00
2	114688	1	45.50	prefill	0.06
2	114688	2	34.60	decode	0.08
2	114688	4	28.60	decode	0.06
2	114688	8	24.70	decode	0.11
2	114688	16	23.30	decode	0.16
2	114688	32	22.80	decode	0.16
2	114688	64	22.90	decode	0.16
4	114688	1	46.00	prefill	0.15
4	114688	2	36.20	decode	0.00
4	114688	4	28.90	decode	0.11
4	114688	8	25.00	decode	0.17
4	114688	16	23.80	decode	0.22
4	114688	32	23.80	decode	0.28
4	114688	64	24.50	decode	0.23
8	114688	1	46.40	prefill	0.08
8	114688	2	36.60	decode	0.08
8	114688	4	30.20	decode	0.17
8	114688	8	25.70	decode	0.20
8	114688	16	25.00	decode	0.22
8	114688	32	25.60	decode	0.15
8	114688	64	27.40	decode	0.20
16	114688	1	46.50	prefill	0.10
16	114688	2	37.80	decode	0.09
16	114688	4	32.80	decode	0.05
16	114688	8	26.40	decode	0.11
16	114688	16	26.40	decode	0.09
16	114688	32	28.60	decode	0.10
16	114688	64	32.60	decode	0.05
32	114688	1	46.80	prefill	0.05
32	114688	2	38.20	decode	0.06
32	114688	4	33.40	decode	0.12
32	114688	8	26.80	decode	0.12
32	114688	16	28.00	decode	0.19
32	114688	32	32.30	decode	0.07
32	114688	64	40.80	decode	0.13
64	114688	1	48.20	prefill	0.07
64	114688	2	43.00	decode	0.07
64	114688	4	38.20	decode	0.06
64	114688	8	29.10	decode	0.10
64	114688	16	31.40	decode	0.09
64	114688	32	40.50	decode	0.06
64	114688	64	54.20	decode	0.09
128	114688	1	57.20	prefill	0.04
128	114688	2	44.70	decode	0.08
128	114688	4	42.20	decode	0.07
128	114688	8	33.60	decode	0.05
128	114688	16	39.30	decode	0.18
128	114688	32	51.80	decode	0.14
128	114688	64	72.80	decode	0.07
256	114688	1	58.90	prefill	0.05
256	114688	2	48.20	decode	0.07
256	114688	4	50.20	decode	0.06
256	114688	8	44.60	decode	0.07
256	114688	16	51.20	decode	0.06
256	114688	32	70.00	decode	0.06
256	114688	64	100.40	decode	0.07
512	114688	1	75.30	prefill	0.07
512	114688	2	66.60	prefill	0.10
512	114688	4	77.00	prefill	0.05
512	114688	8	68.70	prefill	0.05
512	114688	16	79.20	prefill	0.04
512	114688	32	108.80	prefill	0.04
512	114688	64	158.20	prefill	0.14
1024	114688	1	141.30	prefill	0.04
1024	114688	2	136.90	prefill	0.06
1024	114688	4	144.80	prefill	0.05
1024	114688	8	139.10	prefill	0.05
1024	114688	16	159.30	prefill	0.10
1024	114688	32	206.90	prefill	0.05
1024	114688	64	284.00	prefill	0.06
2048	114688	1	284.90	prefill	0.04
2048	114688	2	272.30	prefill	0.11
2048	114688	4	279.80	prefill	0.07
2048	114688	8	276.00	prefill	0.08
2048	114688	16	311.00	prefill	0.07
2048	114688	32	396.70	prefill	0.06
2048	114688	64	534.00	prefill	0.09
4096	114688	1	510.50	prefill	0.05
4096	114688	2	493.70	prefill	0.03
4096	114688	4	501.20	prefill	0.03
4096	114688	8	500.10	prefill	0.10
4096	114688	16	578.30	prefill	0.06
4096	114688	32	754.40	prefill	0.07
4096	114688	64	1014.80	prefill	0.06
1	163840	1	55.60	prefill	0.04
1	163840	2	41.40	decode	0.00
1	163840	4	32.00	decode	0.05
1	163840	8	26.80	decode	0.00
1	163840	16	24.60	decode	0.09
1	163840	32	23.70	decode	0.07
1	163840	64	23.50	decode	0.07
2	163840	1	56.70	prefill	0.04
2	163840	2	41.10	decode	0.04
2	163840	4	32.30	decode	0.07
2	163840	8	27.10	decode	0.09
2	163840	16	25.00	decode	0.09
2	163840	32	24.30	decode	0.12
2	163840	64	24.50	decode	0.11
4	163840	1	56.60	prefill	0.06
4	163840	2	42.20	decode	0.04
4	163840	4	32.40	decode	0.05
4	163840	8	27.20	decode	0.00
4	163840	16	25.30	decode	0.13
4	163840	32	25.10	decode	0.11
