m	n	g	us	path	stddev_pct
256	32768	8	32.50	decode	0.07
256	32768	16	41.40	decode	0.10
256	32768	32	41.40	decode	0.12
256	32768	64	41.40	decode	0.10
512	32768	1	40.00	prefill	0.04
512	32768	2	45.00	prefill	0.06
512	32768	4	59.40	prefill	0.10
512	32768	8	46.60	prefill	0.05
512	32768	16	60.60	prefill	0.05
512	32768	32	60.50	prefill	0.12
512	32768	64	60.50	prefill	0.06
1024	32768	1	56.90	prefill	0.08
1024	32768	2	69.20	prefill	0.06
1024	32768	4	85.30	prefill	0.04
1024	32768	8	72.00	prefill	0.03
1024	32768	16	97.40	prefill	0.05
1024	32768	32	97.40	prefill	0.05
1024	32768	64	97.40	prefill	0.04
2048	32768	1	109.10	prefill	0.06
2048	32768	2	124.50	prefill	0.07
2048	32768	4	152.50	prefill	0.06
2048	32768	8	140.90	prefill	0.02
2048	32768	16	189.20	prefill	0.10
2048	32768	32	189.10	prefill	0.06
2048	32768	64	189.20	prefill	0.07
4096	32768	1	243.10	prefill	0.07
4096	32768	2	236.10	prefill	0.06
4096	32768	4	269.00	prefill	0.06
4096	32768	8	265.20	prefill	0.06
4096	32768	16	358.10	prefill	0.04
4096	32768	32	358.20	prefill	0.06
4096	32768	64	357.90	prefill	0.04
1	49152	1	29.70	prefill	0.08
1	49152	2	26.90	decode	0.06
1	49152	4	23.30	decode	0.10
1	49152	8	21.30	decode	0.07
1	49152	16	20.80	decode	0.08
1	49152	32	20.40	decode	0.08
1	49152	64	20.50	decode	0.14
2	49152	1	30.40	prefill	0.18
2	49152	2	26.40	decode	0.14
2	49152	4	23.60	decode	0.07
2	49152	8	21.60	decode	0.08
2	49152	16	21.00	decode	0.11
2	49152	32	20.80	decode	0.11
2	49152	64	20.80	decode	0.14
4	49152	1	30.90	prefill	0.17
4	49152	2	27.90	decode	0.00
4	49152	4	24.40	decode	0.07
4	49152	8	22.10	decode	0.07
4	49152	16	21.80	decode	0.13
4	49152	32	21.80	decode	0.20
4	49152	64	21.80	decode	0.11
8	49152	1	31.60	prefill	0.21
8	49152	2	28.60	decode	0.19
8	49152	4	26.10	decode	0.14
8	49152	8	22.70	decode	0.12
8	49152	16	22.90	decode	0.07
8	49152	32	23.30	decode	0.16
8	49152	64	23.30	decode	0.12
16	49152	1	31.40	prefill	0.16
16	49152	2	30.70	decode	0.16
16	49152	4	28.80	decode	0.06
16	49152	8	23.40	decode	0.14
